date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-04-25,24.6,10.6,32,,,,11.1,,,
2015-04-26,24.9,15.8,31,,,,12.3,,,
2015-04-27,20.8,18,27,1,,,8.6,,,
2015-04-28,20,16,26,,,,7.8,,,
2015-04-29,21.8,13.6,27,,,,8.6,,,
2015-04-30,23.3,16,30,,,,10.2,,,
2015-05-01,16.9,14,26.5,9.1,,,11.6,,,
2015-05-02,19.6,13,24.2,0,,,8.1,,,
2015-05-03,18.8,13,24,0,,342,18,,,
2015-05-04,19,,,,,,,,,
2015-05-05,20.4,12.1,29,,,,9.3,,,
2015-05-06,17.1,14,22,,,,12,,,
2015-05-07,19.3,9.7,26,,,,11.6,,,
2015-05-08,18.3,12,25,,,,9.6,,,
2015-05-09,12.7,11.9,16,0,,,7.1,,,
2015-05-10,9.7,8.5,12.4,24.9,,,8.3,,,
2015-05-11,15.4,8.9,20,,,,14,,,
2015-05-12,18.1,10.9,27.7,0,,,11.9,,,
2015-05-13,23.5,11.9,32.4,,,,8.3,,,
2015-05-14,22.1,18,26,,,,15.9,,,
2015-05-15,19.8,17,26,,,,12.5,,,
2015-05-16,23.9,10.9,29,0,,,11.1,,,
2015-05-17,22.4,18,28.2,0.3,,,9.6,,,
2015-05-18,22.8,18,28,,,,18.3,,,
2015-05-19,21.4,13,27,,,,19.8,,,
2015-05-20,23.7,13,30,,,313,15.8,,,
2015-05-21,22.6,14,30,,,,14.7,,,
2015-05-22,23.2,14.9,30,,,,7.5,,,
2015-05-23,25.2,16.3,32,,,,8.9,,,
2015-05-24,26.8,18,33,,,,9.6,,,
2015-05-25,27.9,20.3,34,,,,10.8,,,
2015-05-26,27.9,20.8,35,,,,13.7,,,
2015-05-27,26.3,21,31,,,157,10.8,,,
2015-05-28,25.8,21,30,0.8,,,10.7,,,
2015-05-29,23.7,20,30,,,,9,,,
2015-05-30,24.6,16,31,0,,,10.8,,,
2015-05-31,28.9,19.5,34,,,,11,,,
2015-06-01,27.3,23.4,33,,,,8.4,,,
2015-06-02,26.4,21.7,34,0,,,12.6,,,
2015-06-03,27.5,17.3,33,,,,10.8,,,
2015-06-04,18.7,18,24,4.6,,,8,,,
2015-06-05,24.6,15.4,32.3,,,,8,,,
2015-06-06,22.6,19.9,30,0.8,,,12,,,
2015-06-07,22.8,15.2,30,0,,,9.2,,,
2015-06-08,25.3,14.6,33,0.3,,,10.5,,,
2015-06-09,24.5,20,29,4.1,,,9.8,,,
2015-06-10,20.4,18.7,24.3,8.6,,,8.7,,,
2015-06-11,24.3,16.4,29,,,,15.5,,,
2015-06-12,24.7,17.9,29,,,,18.8,,,
2015-06-13,22.6,18,29,0.5,,,12.6,,,
2015-06-14,26.4,18.2,32,0,,,8.4,,,
2015-06-15,26.8,21,32,,,,8.9,,,
2015-06-16,26.2,22,34,,,,9.3,,,
2015-06-17,25.6,20,33.4,12.2,,,8.9,,,
2015-06-18,27.5,19,33,0.5,,,10.4,,,
2015-06-19,19.6,17,24.8,2,,,9.6,,,
2015-06-20,26.2,17.6,31,1.5,,,7.5,,,
2015-06-21,26.7,20.9,32,0,,,7.8,,,
2015-06-22,26.7,21.4,31.1,0.3,,,8.9,,,
2015-06-23,27.6,21.8,31.2,,,,10.4,,,
2015-06-24,24.2,23,27,,,,7.8,,,
2015-06-25,24.4,23,27.3,5.6,,,6.3,,,
2015-06-26,24.2,20.6,29.1,1.5,,,7.7,,,
2015-06-27,25.9,21.5,29.6,0,,,6,,,
2015-06-28,27.1,23.3,31.8,,,,9.5,,,
2015-06-29,21.1,19,27.8,0,,,8,,,
2015-06-30,21.3,18,28,1.3,,,12.8,,,
2015-07-01,24.6,17,33.2,1,,,8.9,,,
2015-07-02,26.3,16,34,,,,11.6,,,
2015-07-03,25.6,18,31.4,,,,8.4,,,
2015-07-04,21.9,19.3,27,1.3,,,6.5,,,
2015-07-05,24.9,17.7,31,,,,6.9,,,
2015-07-06,26.4,19,31,,,,7.4,,,
2015-07-07,27.2,20.7,33,,,,8.9,,,
2015-07-08,27.8,22.1,34,,,,9.3,,,
2015-07-09,28.1,23,33,,,,9,,,
2015-07-10,28.1,22.9,33.2,,,,10.2,,,
2015-07-11,29.2,23,35,,,,7.5,,,
2015-07-12,29.9,24,39,,,,7.2,,,
2015-07-13,32.8,24,40,0.3,,,8.4,,,
2015-07-14,30.4,24,36,0,,,11.7,,,
2015-07-15,26.9,25,30.2,8.1,,,9,,,
2015-07-16,23.7,21.2,28,0.3,,358,14,,,
2015-07-17,23.7,21.1,27,22.9,,,9,,,
2015-07-18,23.6,20.8,28,36.6,,,6.6,,,
2015-07-19,23.6,21.3,28.2,1.3,,,7.2,,,
2015-07-20,25.6,22.6,29.2,1,,,7.4,,,
2015-07-21,25.2,22.1,30,0,,,7.5,,,
2015-07-22,26.3,21.2,31.3,3.8,,,6,,,
2015-07-23,26,21.8,30.1,,,,5.3,,,
2015-07-24,26.4,23,34,,,,6.3,,,
2015-07-25,28.9,22.7,34,,,,7.5,,,
2015-07-26,29.6,24,35,,,,5.7,,,
2015-07-27,27.4,23.7,33.1,28.7,,,8.9,,,
2015-07-28,27.1,23.4,31.8,0,,,6,,,
2015-07-29,28.3,24.6,32,1.3,,,7.2,,,
2015-07-30,23.8,21,27.3,1.8,,,8.4,,,
2015-07-31,26.6,22.3,30,,,,7.4,,,
2015-08-01,24.7,23.1,27,32.8,,,6,,,
2015-08-02,26.5,23,30,0,,,6,,,
2015-08-03,23.5,22,29,0.3,,,8,,,
2015-08-04,27.2,18.7,,,,,,,,
2015-08-05,26,22,32,,,,7.5,,,
2015-08-06,26.2,22,30.3,,,,7.4,,,
2015-08-07,23.9,20,30.8,8.6,,,8.6,,,
2015-08-08,25.6,20.2,31.2,,,,7.4,,,
2015-08-09,28.1,22,35,,,,6,,,
2015-08-10,29,24.7,34.8,,,,8.1,,,
2015-08-11,28.2,25,34,,,,6.9,,,
2015-08-12,29.3,23,36,,,,8.3,,1005.6,
2015-08-13,29,24,35,,,,8.7,,1003.1,
2015-08-14,26.8,23,32.6,,,,9.5,,1003,
2015-08-15,27.1,20,34.9,,,,9.3,,,
2015-08-16,28.9,22.4,35,,,,6.9,,1005,
2015-08-17,27.7,23,33,,,,7.4,,1006.1,
2015-08-18,25.2,23,31,0.5,,,9.2,,,
2015-08-19,23.3,22,29,0.8,,,8,,,
2015-08-20,26,19,33,0,,,8.9,,,
2015-08-21,26.1,18,33,0,,,7.7,,,
2015-08-22,25.9,21,32,,,,10.7,,,
2015-08-23,21.8,20,27.9,1.5,,,7.8,,,
2015-08-24,23.9,19,28.9,,,,8.3,,,
2015-08-25,25.2,20,31,0,,,8,,,
2015-08-26,25.8,20,32,,,,8.6,,,
2015-08-27,25.1,21,32,0,,,8,,,
2015-08-28,26.3,19,34,4.1,,,6.9,,,
2015-08-29,25.3,20,31,,,,8.7,,1008.9,
2015-08-30,21.6,19.8,23.8,26.4,,,6.8,,,
2015-08-31,20.2,19,23,12.4,,,6.3,,,
2015-09-01,21.2,18.7,24,3.3,,13,10.4,,,
2015-09-02,24.9,19,32,2.3,,,9.3,,,
2015-09-03,25.9,19,32,0,,,8,,,
2015-09-04,20.1,19,24,39.1,,,7.4,,,
2015-09-05,18.3,17,19.1,8.1,,,9.5,,1011.1,
2015-09-06,22.4,18,29,2.8,,,8.9,,,
2015-09-07,23.4,16,29,0,,,8,,1013.3,
2015-09-08,22.3,16.7,27,,,,5.6,,1015.1,
2015-09-09,21.5,19,26,0,,26,10.5,,1019.7,
2015-09-10,15.5,14,20,5.1,,,,,,
2015-09-11,18.8,13.7,24,6.4,,,11.4,,,
2015-09-12,19.9,15,26,,,283,18.2,,1016.8,
2015-09-13,21.7,12,30,,,,8.4,,1015.9,
2015-09-14,19.9,14,26,,,,6.5,,1018.7,
2015-09-15,19.7,14,26,,,,5.6,,1019.4,
2015-09-16,20.6,14.9,27,,,,5.7,,1017.9,
2015-09-17,22.4,16.8,28,0.5,,,5.9,,1016.7,
2015-09-18,22,19,30,,,,6.9,,1016.5,
2015-09-19,22.1,14,29,,,,7.5,,,
2015-09-20,21.1,16,27,,,,8.3,,,
2015-09-21,22.3,16.8,28,,,,7.2,,1011.2,
2015-09-22,19.2,17,26,,,,9.8,,,
2015-09-23,21.3,15.2,27,0,,,6.8,,1009.4,
2015-09-24,19.1,17,26,3.6,,,6.8,,1009.4,
2015-09-25,18.2,14,26.1,,,,9,,,
2015-09-26,19.4,12.7,27,,,,8.3,,1013.2,
2015-09-27,21.7,15.3,28,,,,6.3,,1014.5,
2015-09-28,16.1,15,20.2,0.8,,,6.2,,1023.3,
2015-09-29,14.8,14,16.6,11.2,,,5.9,,1028.7,
2015-09-30,16.3,13.7,20,7.6,,,6.5,,,
2015-10-01,15.7,12,22,7.6,,,21.6,,1012.5,
2015-10-02,18.6,8,27,0,,,8.9,,,
2015-10-03,17.7,9,25,,,,8.7,,1020.2,
2015-10-04,17.1,11,24.5,,,,5,,,
2015-10-05,17.6,11,25,,,,5.4,,,
2015-10-06,19.3,14.1,25,,,,5.3,,,
2015-10-07,19.9,16,25.4,,,,7.5,,1014.5,
2015-10-08,14.1,12.3,20,,,305,18.9,,,
2015-10-09,14.1,8.1,21,,,,16.1,,1011.5,
2015-10-10,14.1,9.8,16,,,310,22.7,,1016.6,
2015-10-11,15.8,13.8,22,,,318,20.7,,1017.6,
2015-10-12,16.7,6,25.7,,,,9,,1020.6,
2015-10-13,17.5,8.2,27,0,,,6.6,,1019.7,
2015-10-14,15.1,10,21.7,,,,6.2,,,
2015-10-15,16.4,10,26,,,,6,,1016.9,
2015-10-16,15.8,9,24,,,,4.1,,,
2015-10-17,16.3,10,22.2,,,,4.4,,,
2015-10-18,14.2,11.4,19,,,108,11.6,,,
2015-10-19,12.7,9,19,,,,5.3,,,
2015-10-20,11.7,9,14.4,0.5,,,8.3,,1018.1,
2015-10-21,9.9,9,11,8.4,,,6.2,,1024.1,
2015-10-22,9.7,8.3,11.1,2.3,,,5.4,,1024.1,
2015-10-23,12.7,9,19,0.8,,,6.2,,1018.3,
2015-10-24,13.2,8,20,0,,,7.2,,,
2015-10-25,10.4,7,14.1,4.8,,,6.6,,,
2015-10-26,9.5,8,16,,,,11.4,,,
2015-10-27,10.1,,,,,,,,,
2015-10-28,9.4,1,16,,,,13.7,,,
2015-10-29,7.4,2,13.1,,,336,16.7,,,
2015-10-30,6.5,-1,14,,,,7.2,,,
2015-10-31,7.1,0,16,,,,6.2,,,
2015-11-01,9.1,0,18,,,,7.8,,,
2015-11-02,9.7,1,20,,,,6.8,,,
2015-11-03,9.4,3,18,,,,6.2,,1022.5,
2015-11-04,11.8,4,16,,,,5,,1023.2,
2015-11-05,5.8,4,12.3,0,,,11,,1029.3,
2015-11-06,1.4,0.9,4,11.2,,23,15.9,,,
2015-11-07,3.4,0.7,4.9,0,,26,15.9,,,
2015-11-08,3.9,2,8,0,,,7.8,,,
2015-11-09,5.5,2.6,6.7,,,,5.1,,1027.6,
2015-11-10,5.6,5,6.2,,,,5.6,,1029.4,
2015-11-11,6.4,5.8,7.3,0,,,4.4,,,
2015-11-12,6.9,6,8,,,,4.4,,1029.9,
2015-11-13,7.2,5.5,9.3,,,,3.9,,,
2015-11-14,7.9,6,11,,,,5.9,,1016.4,
2015-11-15,9.2,4,13,,,,6.3,,1020.7,
2015-11-16,5.8,3.6,9.6,1,,,6.3,,1021,
2015-11-17,6,1.1,10,0,,,9.5,,,
2015-11-18,4.4,2.6,5.1,,,,8.9,,1027.4,
2015-11-19,2,0.7,5,0,,115,9,,1026,
2015-11-20,1.5,0,2,1.3,,,6.5,,,
2015-11-21,0.1,0,2,1.8,,,6.2,,,
2015-11-22,-3.3,-4,0.5,7.9,,,5.9,,,
2015-11-23,-4,-5,-0.1,6.6,,,7.8,,,
2015-11-24,-6.6,-8,-3.8,0,,,8.3,,,
2015-11-25,-7.2,-9,-0.9,0,,340,17.9,,,
2015-11-26,-6.6,-12,-1.3,,,,14.6,,,
2015-11-27,-3.9,-9,-1,,,,4.7,,,
2015-11-28,-1.4,-4,0.5,,,,,,,
2015-11-29,-0.9,-4,6.1,0,,,4.4,,,
2015-11-30,-1.1,-4.2,2.7,,,,4.7,,,
